config,tier,precision,tokens_seen,train_loss,val_loss,val_ppl,gap,n_seeds
tiny_fp16,tiny,fp16,16384000,11.610515,11.590431,108058.8214,-0.020084,2
tiny_fp16,tiny,fp16,32768000,5.602757,5.696385,297.7889,0.093628,2
tiny_fp16,tiny,fp16,49152000,4.365708,4.367692,78.8614,0.001984,2
tiny_fp16,tiny,fp16,65536000,3.919669,3.968385,52.899,0.048716,2
tiny_fp16,tiny,fp16,81920000,3.713572,3.742015,42.1829,0.028443,2
tiny_fp16,tiny,fp16,98304000,3.561657,3.577949,35.8,0.016292,2
tiny_fp16,tiny,fp16,114688000,3.413598,3.450383,31.5125,0.036784,2
tiny_fp16,tiny,fp16,131072000,3.288315,3.350241,28.5096,0.061926,2
tiny_fp16,tiny,fp16,147456000,3.255628,3.26979,26.3058,0.014162,2
tiny_fp16,tiny,fp16,163840000,3.134323,3.197367,24.468,0.063043,2
tiny_fp16,tiny,fp16,180224000,3.077901,3.137727,23.0514,0.059826,2
tiny_fp16,tiny,fp16,196608000,3.042984,3.086559,21.9016,0.043576,2
tiny_fp16,tiny,fp16,212992000,3.020497,3.04054,20.9165,0.020043,2
tiny_fp16,tiny,fp16,229376000,2.989599,3.000929,20.1042,0.011329,2
tiny_fp16,tiny,fp16,245760000,2.924507,2.967306,19.4395,0.042798,2
tiny_fp16,tiny,fp16,262144000,2.894343,2.938979,18.8965,0.044635,2
tiny_fp16,tiny,fp16,278528000,2.860097,2.913072,18.4133,0.052975,2
tiny_fp16,tiny,fp16,294912000,2.845225,2.889381,17.9822,0.044156,2
tiny_fp16,tiny,fp16,311296000,2.862143,2.870815,17.6514,0.008673,2
tiny_fp16,tiny,fp16,327680000,2.800188,2.854557,17.3667,0.054368,2
tiny_fp16,tiny,fp16,344064000,2.76802,2.839824,17.1128,0.071804,2
tiny_fp16,tiny,fp16,360448000,2.790113,2.826109,16.8796,0.035996,2
tiny_fp16,tiny,fp16,376832000,2.792973,2.814538,16.6855,0.021564,2
tiny_fp16,tiny,fp16,393216000,2.802097,2.80514,16.5294,0.003043,2
tiny_fp16,tiny,fp16,409600000,2.780557,2.796587,16.3886,0.01603,2
tiny_fp16,tiny,fp16,425984000,2.747484,2.789601,16.2745,0.042117,2
tiny_fp16,tiny,fp16,442368000,2.767924,2.783939,16.1826,0.016015,2
tiny_fp16,tiny,fp16,458752000,2.760276,2.778136,16.089,0.01786,2
tiny_fp16,tiny,fp16,475136000,2.732002,2.774042,16.0233,0.04204,2
tiny_fp16,tiny,fp16,491520000,2.736783,2.769559,15.9516,0.032776,2
tiny_fp16,tiny,fp16,499974144,2.722544,2.767833,15.9241,0.045289,2
tiny_ternary,tiny,ternary,16384000,16.076804,16.017653,9044365.273,-0.059152,2
tiny_ternary,tiny,ternary,32768000,7.511173,7.535994,1874.3065,0.02482,2
tiny_ternary,tiny,ternary,49152000,5.65561,5.645456,283.0027,-0.010154,2
tiny_ternary,tiny,ternary,65536000,5.19615,5.209492,183.0012,0.013342,2
tiny_ternary,tiny,ternary,81920000,4.99174,5.010323,149.9531,0.018582,2
tiny_ternary,tiny,ternary,98304000,4.850784,4.859999,129.0241,0.009215,2
tiny_ternary,tiny,ternary,114688000,4.701735,4.733604,113.7046,0.031868,2
tiny_ternary,tiny,ternary,131072000,4.578856,4.621897,101.6867,0.043041,2
tiny_ternary,tiny,ternary,147456000,4.525753,4.526199,92.4067,0.000446,2
tiny_ternary,tiny,ternary,163840000,4.399738,4.446385,85.318,0.046647,2
tiny_ternary,tiny,ternary,180224000,4.332686,4.380726,79.896,0.04804,2
tiny_ternary,tiny,ternary,196608000,4.284738,4.321438,75.2968,0.036701,2
tiny_ternary,tiny,ternary,212992000,4.248233,4.27091,71.5868,0.022677,2
tiny_ternary,tiny,ternary,229376000,4.216007,4.228079,68.5853,0.012072,2
tiny_ternary,tiny,ternary,245760000,4.159265,4.190829,66.0775,0.031564,2
tiny_ternary,tiny,ternary,262144000,4.116837,4.15915,64.0171,0.042313,2
tiny_ternary,tiny,ternary,278528000,4.084164,4.133185,62.3763,0.04902,2
tiny_ternary,tiny,ternary,294912000,4.075718,4.108684,60.8666,0.032966,2
tiny_ternary,tiny,ternary,311296000,4.076613,4.086564,59.5349,0.009951,2
tiny_ternary,tiny,ternary,327680000,4.007148,4.068791,58.4862,0.061643,2
tiny_ternary,tiny,ternary,344064000,3.997966,4.053405,57.5932,0.055438,2
tiny_ternary,tiny,ternary,360448000,4.010922,4.038856,56.7614,0.027934,2
tiny_ternary,tiny,ternary,376832000,3.998707,4.02701,56.0929,0.028303,2
tiny_ternary,tiny,ternary,393216000,4.01269,4.016964,55.5323,0.004274,2
tiny_ternary,tiny,ternary,409600000,3.999316,4.009815,55.1367,0.010498,2
tiny_ternary,tiny,ternary,425984000,3.985258,4.002505,54.7351,0.017247,2
tiny_ternary,tiny,ternary,442368000,3.977843,3.998057,54.4922,0.020214,2
tiny_ternary,tiny,ternary,458752000,3.973141,3.992188,54.1733,0.019047,2
tiny_ternary,tiny,ternary,475136000,3.951663,3.988997,54.0007,0.037334,2
tiny_ternary,tiny,ternary,491520000,3.953037,3.981877,53.6176,0.02884,2
tiny_ternary,tiny,ternary,499974144,3.931491,3.981266,53.5849,0.049775,2
small_fp16,small,fp16,16384000,9.352967,9.414542,12265.4543,0.061576,2
small_fp16,small,fp16,32768000,4.678197,4.765824,117.4278,0.087627,2
small_fp16,small,fp16,49152000,3.884953,3.879914,48.4201,-0.005039,2
small_fp16,small,fp16,65536000,3.455046,3.502377,33.1942,0.04733,2
small_fp16,small,fp16,81920000,3.241137,3.263216,26.1334,0.022079,2
small_fp16,small,fp16,98304000,3.070064,3.080411,21.7674,0.010347,2
small_fp16,small,fp16,114688000,2.906022,2.939658,18.9094,0.033636,2
small_fp16,small,fp16,131072000,2.754376,2.813735,16.6721,0.059359,2
small_fp16,small,fp16,147456000,2.696776,2.714218,15.0928,0.017443,2
small_fp16,small,fp16,163840000,2.564904,2.635297,13.9475,0.070393,2
small_fp16,small,fp16,180224000,2.51166,2.562755,12.9715,0.051095,2
small_fp16,small,fp16,196608000,2.47075,2.506436,12.2612,0.035687,2
small_fp16,small,fp16,212992000,2.437753,2.457053,11.6704,0.0193,2
small_fp16,small,fp16,229376000,2.406143,2.414935,11.189,0.008791,2
small_fp16,small,fp16,245760000,2.348985,2.378732,10.7912,0.029748,2
small_fp16,small,fp16,262144000,2.304108,2.347526,10.4597,0.043419,2
small_fp16,small,fp16,278528000,2.271375,2.322999,10.2062,0.051624,2
small_fp16,small,fp16,294912000,2.251721,2.298277,9.957,0.046556,2
small_fp16,small,fp16,311296000,2.27132,2.278488,9.7619,0.007168,2
small_fp16,small,fp16,327680000,2.209884,2.261159,9.5942,0.051275,2
small_fp16,small,fp16,344064000,2.171515,2.245165,9.442,0.07365,2
small_fp16,small,fp16,360448000,2.201803,2.231238,9.3114,0.029435,2
small_fp16,small,fp16,376832000,2.192655,2.219623,9.2039,0.026968,2
small_fp16,small,fp16,393216000,2.205599,2.209791,9.1138,0.004192,2
small_fp16,small,fp16,409600000,2.186881,2.200383,9.0285,0.013502,2
small_fp16,small,fp16,425984000,2.136386,2.19343,8.9659,0.057044,2
small_fp16,small,fp16,442368000,2.169153,2.18636,8.9027,0.017207,2
small_fp16,small,fp16,458752000,2.171839,2.181017,8.8553,0.009178,2
small_fp16,small,fp16,475136000,2.137431,2.176277,8.8134,0.038846,2
small_fp16,small,fp16,491520000,2.130283,2.171741,8.7735,0.041458,2
small_fp16,small,fp16,499974144,2.126912,2.170341,8.7613,0.043428,2
small_ternary,small,ternary,16384000,11.811108,11.926566,151231.3405,0.115458,2
small_ternary,small,ternary,32768000,5.688056,5.744209,312.3763,0.056153,2
small_ternary,small,ternary,49152000,4.836352,4.822624,124.2909,-0.013727,2
small_ternary,small,ternary,65536000,4.498997,4.536676,93.3798,0.037678,2
small_ternary,small,ternary,81920000,4.340744,4.359618,78.2272,0.018874,2
small_ternary,small,ternary,98304000,4.218576,4.226173,68.4548,0.007597,2
small_ternary,small,ternary,114688000,4.096284,4.120591,61.5956,0.024307,2
small_ternary,small,ternary,131072000,3.971378,4.034599,56.5203,0.063222,2
small_ternary,small,ternary,147456000,3.940196,3.955006,52.196,0.01481,2
small_ternary,small,ternary,163840000,3.813287,3.876995,48.2789,0.063708,2
small_ternary,small,ternary,180224000,3.758069,3.819234,45.5693,0.061164,2
